actual_data,error,left_motor_powers,right_motor_powers
1135,2,50,49
1119,18,51,48
1092,45,53,46
1068,69,55,44
1041,96,57,42
1097,40,53,46
1205,-68,45,54
1254,-117,41,58
1167,-30,47,52
1112,25,51,48
1160,-23,48,51
1205,-68,44,55
1184,-47,46,53
1137,0,49,50
1139,-2,49,50
1141,-4,49,50
1167,-30,47,52
1159,-22,48,51
1139,-2,49,50
1136,1,50,49
1159,-22,48,51
1182,-45,46,53
1139,-2,49,50
1138,-1,49,50
1140,-3,49,50
1230,-93,42,57
1282,-145,38,61
1181,-44,46,53
1132,5,50,49
1164,-27,47,52
1166,-29,47,52
1140,-3,49,50
1112,25,51,48
1120,17,51,48
1126,11,50,49
1253,-116,41,58
1204,-67,44,55
1163,-26,47,52
1136,1,49,50
1143,-6,49,50
1122,15,50,49
1112,25,51,48
1137,0,49,50
1182,-45,46,53
1170,-33,47,52
1207,-70,44,55
1240,-103,41,58
1229,-92,42,57
1168,-31,47,52
1187,-50,45,54
1205,-68,44,55
1159,-22,47,52
1088,49,53,46
1074,63,54,45
1074,63,54,45
1095,42,52,47
1136,1,49,50
1222,-85,43,56
1229,-92,42,57
1169,-32,47,52
1162,-25,47,52
1189,-52,45,54
1159,-22,47,52
1121,16,50,49
1159,-22,47,52
1211,-74,43,56
1205,-68,44,55
1128,9,49,50
1096,41,52,47
1071,66,54,45
1161,-24,47,52
1231,-94,42,57
1160,-23,47,52
1130,7,49,50
1185,-48,45,54
1153,-16,48,51
1096,41,52,47
1068,69,54,45
1137,0,49,50
1216,-79,43,56
1209,-72,43,56
1111,26,51,48
1112,25,51,48
1159,-22,47,52
1103,34,51,48
1090,47,52,47
1198,-61,44,55
1235,-98,41,58
1185,-48,45,54
1091,46,52,47
1090,47,52,47
1138,-1,49,50
1208,-71,43,56
1183,-46,45,54
1140,-3,48,51
1138,-1,49,50
1135,2,49,50
1094,43,52,47
1274,-137,38,61
1356,-219,32,67
1018,119,58,41
881,256,68,31
1313,-176,35,64
1466,-329,24,75
1072,65,53,46
884,253,68,31
1141,-4,48,51
1377,-240,30,69
1245,-108,40,59
1047,90,55,44
1029,108,57,42
1092,45,52,47
1177,-40,46,53
1206,-69,43,56
1183,-46,45,54
1137,0,48,51
1123,14,50,49
1162,-25,47,52
1204,-67,43,56
1162,-25,47,52
1158,-21,47,52
1141,-4,48,51
1160,-23,47,52
1143,-6,48,51
1140,-3,48,51
1115,22,50,49
1075,62,53,46
1068,69,54,45
1092,45,52,47
1114,23,50,49
1171,-34,46,53
1135,2,49,50
1174,-37,46,53
1208,-71,43,56
1215,-78,43,56
1185,-48,45,54
1113,24,50,49
1115,22,50,49
1124,13,49,50
1184,-47,45,54
1182,-45,45,54
1121,16,50,49
1122,15,50,49
1159,-22,47,52
1164,-27,46,53
1092,45,52,47
1067,70,54,45
1138,-1,48,51
1200,-63,44,55
1207,-70,43,56
