actual_data,error,Absolute Error,left_motor_powers,right_motor_powers,,Source,Min,Max,Average,Standard Deviation
839,-41,41,49,50,,Sensor Response,30,944,370.4333333,385.525901
842,-44,44,49,50,,Left Motor Data,48,55,52.55333333,2.803489357
791,7,7,50,49,,Right Motor Data,44,51,46.44666667,2.803489357
840,-42,42,49,50,,Total Error,,69285,,
838,-40,40,49,50,,,,,,
845,-47,47,49,50,,,,,,
817,-19,19,49,50,,,,,,
831,-33,33,49,50,,,,,,
890,-92,92,49,50,,,,,,
843,-45,45,49,50,,,,,,
842,-44,44,49,50,,,,,,
817,-19,19,49,50,,,,,,
825,-27,27,49,50,,,,,,
833,-35,35,49,50,,,,,,
864,-66,66,49,50,,,,,,
862,-64,64,49,50,,,,,,
887,-89,89,49,50,,,,,,
887,-89,89,49,50,,,,,,
864,-66,66,49,50,,,,,,
901,-103,103,49,50,,,,,,
929,-131,131,49,50,,,,,,
944,-146,146,48,51,,,,,,
909,-111,111,49,50,,,,,,
775,23,23,50,49,,,,,,
349,449,449,53,46,,,,,,
141,657,657,54,45,,,,,,
32,766,766,55,44,,,,,,
32,766,766,55,44,,,,,,
35,763,763,55,44,,,,,,
32,766,766,55,44,,,,,,
30,768,768,55,44,,,,,,
31,767,767,55,44,,,,,,
33,765,765,55,44,,,,,,
35,763,763,55,44,,,,,,
32,766,766,55,44,,,,,,
33,765,765,55,44,,,,,,
33,765,765,55,44,,,,,,
37,761,761,55,44,,,,,,
32,766,766,55,44,,,,,,
32,766,766,55,44,,,,,,
31,767,767,55,44,,,,,,
31,767,767,55,44,,,,,,
158,640,640,54,45,,,,,,
812,-14,14,49,50,,,,,,
887,-89,89,49,50,,,,,,
862,-64,64,49,50,,,,,,
846,-48,48,49,50,,,,,,
861,-63,63,49,50,,,,,,
839,-41,41,49,50,,,,,,
791,7,7,50,49,,,,,,
356,442,442,53,46,,,,,,
532,266,266,51,48,,,,,,
757,41,41,50,49,,,,,,
790,8,8,50,49,,,,,,
821,-23,23,49,50,,,,,,
841,-43,43,49,50,,,,,,
838,-40,40,49,50,,,,,,
864,-66,66,49,50,,,,,,
857,-59,59,49,50,,,,,,
893,-95,95,49,50,,,,,,
913,-115,115,49,50,,,,,,
862,-64,64,49,50,,,,,,
840,-42,42,49,50,,,,,,
841,-43,43,49,50,,,,,,
850,-52,52,49,50,,,,,,
862,-64,64,49,50,,,,,,
821,-23,23,49,50,,,,,,
682,116,116,50,49,,,,,,
555,243,243,51,48,,,,,,
433,365,365,52,47,,,,,,
301,497,497,53,46,,,,,,
117,681,681,55,44,,,,,,
32,766,766,55,44,,,,,,
33,765,765,55,44,,,,,,
33,765,765,55,44,,,,,,
32,766,766,55,44,,,,,,
32,766,766,55,44,,,,,,
35,763,763,55,44,,,,,,
31,767,767,55,44,,,,,,
31,767,767,55,44,,,,,,
32,766,766,55,44,,,,,,
34,764,764,55,44,,,,,,
33,765,765,55,44,,,,,,
32,766,766,55,44,,,,,,
34,764,764,55,44,,,,,,
32,766,766,55,44,,,,,,
33,765,765,55,44,,,,,,
32,766,766,55,44,,,,,,
32,766,766,55,44,,,,,,
330,468,468,53,46,,,,,,
152,646,646,54,45,,,,,,
32,766,766,55,44,,,,,,
32,766,766,55,44,,,,,,
36,762,762,55,44,,,,,,
36,762,762,55,44,,,,,,
34,764,764,55,44,,,,,,
34,764,764,55,44,,,,,,
30,768,768,55,44,,,,,,
35,763,763,55,44,,,,,,
32,766,766,55,44,,,,,,
35,763,763,55,44,,,,,,
32,766,766,55,44,,,,,,
32,766,766,55,44,,,,,,
35,763,763,55,44,,,,,,
30,768,768,55,44,,,,,,
31,767,767,55,44,,,,,,
33,765,765,55,44,,,,,,
32,766,766,55,44,,,,,,
33,765,765,55,44,,,,,,
32,766,766,55,44,,,,,,
31,767,767,55,44,,,,,,
32,766,766,55,44,,,,,,
39,759,759,55,44,,,,,,
32,766,766,55,44,,,,,,
35,763,763,55,44,,,,,,
30,768,768,55,44,,,,,,
32,766,766,55,44,,,,,,
32,766,766,55,44,,,,,,
32,766,766,55,44,,,,,,
34,764,764,55,44,,,,,,
32,766,766,55,44,,,,,,
31,767,767,55,44,,,,,,
36,762,762,55,44,,,,,,
33,765,765,55,44,,,,,,
31,767,767,55,44,,,,,,
32,766,766,55,44,,,,,,
32,766,766,55,44,,,,,,
31,767,767,55,44,,,,,,
39,759,759,55,44,,,,,,
32,766,766,55,44,,,,,,
32,766,766,55,44,,,,,,
32,766,766,55,44,,,,,,
33,765,765,55,44,,,,,,
30,768,768,55,44,,,,,,
32,766,766,55,44,,,,,,
32,766,766,55,44,,,,,,
32,766,766,55,44,,,,,,
325,473,473,53,46,,,,,,
678,120,120,50,49,,,,,,
837,-39,39,49,50,,,,,,
842,-44,44,49,50,,,,,,
815,-17,17,49,50,,,,,,
792,6,6,50,49,,,,,,
818,-20,20,49,50,,,,,,
744,54,54,50,49,,,,,,
811,-13,13,49,50,,,,,,
799,-1,1,49,50,,,,,,
793,5,5,50,49,,,,,,
772,26,26,50,49,,,,,,
789,9,9,50,49,,,,,,
